Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Juni,0.0,Valuta Asing
JUMLAH,Juni,4551732.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Juli,45786193.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Juli,2039617.0,Valuta Asing
Pertambangan dan Penggalian,Juli,10447956.0,Valuta Asing
Industri Pengolahan,Juli,12151047.0,Valuta Asing
Pengadaan Listrik dan Gas,Juli,9486789.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Juli,43205.0,Valuta Asing
Konstruksi,Juli,245272.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Juli,960905.0,Valuta Asing
Transportasi dan Pergudangan,Juli,640991.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Juli,675794.0,Valuta Asing
Informasi dan Komunikasi,Juli,813683.0,Valuta Asing
Jasa Keuangan dan Asuransi,Juli,306393.0,Valuta Asing
Real Estate,Juli,879857.0,Valuta Asing
Jasa Perusahaan,Juli,904525.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Juli,885.0,Valuta Asing
Jasa Pendidikan,Juli,1811.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Juli,48931.0,Valuta Asing
Jasa Lainnya,Juli,369613.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Juli,0.0,Valuta Asing
JUMLAH,Juli,45786193.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Agustus,45830792.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Agustus,2007055.0,Valuta Asing
Pertambangan dan Penggalian,Agustus,10285899.0,Valuta Asing
Industri Pengolahan,Agustus,12260142.0,Valuta Asing
Pengadaan Listrik dan Gas,Agustus,9469269.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,37889.0,Valuta Asing
Konstruksi,Agustus,244137.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Agustus,110181.0,Valuta Asing
Transportasi dan Pergudangan,Agustus,6412944.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Agustus,661021.0,Valuta Asing
